iter	Passed	Remaining
605	108057	248567
606	108258	248442
607	108463	248324
608	108645	248153
609	108758	247826
610	108911	247591
611	109106	247450
612	109308	247326
613	109398	246948
614	109566	246747
615	109771	246628
616	109928	246404
617	110104	246219
618	110255	245981
619	110404	245738
620	110617	245639
621	110787	245442
622	110988	245314
623	111181	245169
624	111376	245029
625	111601	244953
626	111818	244859
627	112042	244780
628	112251	244667
629	112419	244468
630	112541	244167
631	112710	243968
632	112911	243837
633	113037	243547
634	113129	243184
635	113328	243049
636	113442	242734
637	113542	242389
638	113748	242271
639	113972	242191
640	114128	241966
641	114301	241778
642	114446	241529
643	114655	241416
644	114812	241195
645	114895	240817
646	115051	240594
647	115273	240508
648	115430	240288
649	115627	240149
650	115803	239966
651	116020	239870
652	116186	239668
653	116397	239558
654	116543	239314
655	116641	238972
656	116828	238813
657	117043	238711
658	117235	238562
659	117419	238396
660	117590	238205
661	117699	237887
662	117886	237729
663	118063	237548
664	118257	237404
665	118425	237206
666	118623	237069
667	118838	236966
668	119048	236851
669	119204	236630
670	119384	236455
671	119579	236311
672	119779	236176
673	119913	235913
674	120105	235762
675	120199	235420
676	120393	235274
677	120515	234988
678	120685	234794
679	120831	234556
680	121039	234436
681	121203	234231
682	121350	233994
683	121559	233878
684	121719	233666
685	121892	233479
686	122082	233325
687	122248	233124
688	122379	232858
689	122478	232531
690	122658	232357
691	122779	232073
692	122895	231780
693	123094	231643
694	123261	231447
695	123422	231239
696	123550	230970
697	123752	230839
698	123918	230640
699	124085	230444
700	124257	230257
701	124364	229949
702	124509	229713
703	124713	229585
704	124904	229434
705	125000	229107
706	125144	228870
707	125299	228654
708	125495	228510
709	125644	228283
710	125855	228167
711	125955	227852
712	126109	227634
713	126269	227425
714	126446	227249
715	126632	227090
716	126766	226836
717	126859	226509
718	126935	226152
719	127098	225952
720	127265	225760
721	127456	225609
722	127624	225417
723	127758	225166
724	127932	224984
725	128118	224824
726	128281	224624
727	128414	224372
728	128590	224196
729	128788	224055
730	128999	223940
731	129163	223742
732	129278	223459
733	129462	223297
734	129677	223185
735	129865	223029
736	130052	222871
737	130274	222772
738	130413	222532
739	130586	222350
740	130796	222230
741	130940	221999
742	131102	221798
743	131315	221683
744	131507	221533
745	131680	221350
746	131809	221093
747	131907	220786
748	132119	220668
749	132263	220439
750	132489	220344
751	132655	220151
752	132837	219984
753	132940	219686
754	133118	219512
755	133224	219221
756	133393	219032
757	133534	218798
758	133626	218485
759	133752	218228
760	133925	218046
761	134150	217950
762	134319	217763
763	134463	217535
764	134619	217327
765	134813	217180
766	134918	216889
767	135100	216724
768	135209	216440
769	135431	216338
770	135549	216070
771	135738	215915
772	135873	215675
773	135981	215392
774	136173	215242
775	136361	215085
776	136543	214920
777	136731	214762
778	136937	214634
779	137155	214524
780	137337	214358
781	137504	214169
782	137672	213980
783	137870	213840
784	138058	213683
785	138222	213488
786	138390	213301
787	138524	213060
788	138685	212861
789	138874	212705
790	139058	212543
791	139251	212393
792	139441	212238
793	139648	212110
794	139812	211916
795	139999	211758
796	140188	211602
797	140306	211339
798	140394	211030
799	140574	210861
800	140784	210737
801	140933	210522
802	141107	210343
803	141293	210183
804	141496	210047
805	141679	209882
806	141899	209771
807	142087	209614
808	142206	209355
809	142296	209053
810	142513	208937
811	142733	208826
812	142951	208713
813	143155	208578
814	143324	208391
815	143521	208247
816	143711	208092
817	143881	207907
818	144007	207659
819	144195	207500
820	144383	207342
821	144522	207114
822	144745	207004
823	144889	206784
824	145060	206600
825	145224	206408
826	145392	206221
827	145606	206100
828	145783	205925
829	145922	205698
830	146078	205494
831	146282	205357
832	146372	205061
833	146521	204849
834	146699	204676
835	146809	204409
836	146968	204210
837	147139	204029
838	147287	203815
839	147470	203649
840	147657	203489
841	147880	203379
842	148024	203161
843	148230	203026
844	148344	202766
845	148464	202515
846	148696	202416
847	148820	202170
848	149042	202058
849	149155	201797
850	149319	201607
851	149471	201400
852	149652	201232
853	149825	201054
854	149959	200822
855	150106	200609
856	150223	200356
857	150410	200196
858	150559	199986
859	150720	199792
860	150825	199523
861	150954	199288
862	151147	199136
863	151260	198878
864	151353	198597
865	151558	198461
866	151682	198219
867	151894	198092
868	152113	197974
869	152234	197730
870	152370	197504
871	152543	197327
872	152726	197162
873	152830	196896
874	153009	196726
875	153183	196550
876	153357	196374
877	153530	196196
878	153707	196025
879	153894	195865
880	154074	195697
881	154210	195473
882	154328	195226
883	154487	195032
884	154669	194866
885	154799	194634
886	154978	194465
887	155180	194325
888	155420	194231
889	155591	194052
890	155755	193864
891	155862	193604
892	155962	193337
893	156053	193058
894	156211	192864
895	156427	192740
896	156521	192466
897	156695	192292
898	156798	192030
899	156915	191785
900	157031	191539
901	157146	191294
902	157318	191116
903	157439	190878
904	157605	190694
905	157774	190513
906	157965	190360
907	158118	190160
908	158251	189936
909	158448	189790
910	158628	189623
911	158752	189388
912	158960	189255
913	159085	189022
914	159176	188749
915	159322	188543
916	159483	188353
917	159586	188096
918	159673	187820
919	159798	187589
920	159930	187366
921	160085	187171
922	160312	187059
923	160507	186911
924	160659	186712
925	160829	186534
926	161038	186401
927	161178	186188
928	161366	186031
929	161489	185799
930	161698	185666
931	161822	185436
932	161999	185266
933	162127	185040
934	162245	184804
935	162362	184566
936	162531	184387
937	162676	184181
938	162853	184012
939	163016	183826
940	163155	183614
941	163311	183422
942	163456	183217
943	163622	183035
944	163804	182871
945	164018	182744
946	164210	182590
947	164364	182396
948	164485	182164
949	164645	181976
950	164812	181796
951	165004	181643
952	165112	181398
953	165322	181265
954	165529	181129
955	165690	180942
956	165840	180743
957	165951	180502
958	166070	180270
959	166189	180038
960	166373	179876
961	166556	179715
962	166664	179471
963	166857	179319
964	167098	179219
965	167283	179058
966	167411	178837
967	167609	178691
968	167819	178556
969	167952	178341
970	168036	178073
971	168177	177866
972	168328	177670
973	168501	177497
974	168644	177292
975	168779	177080
976	168942	176896
977	169215	176828
978	169350	176615
979	169503	176421
980	169636	176207
981	169759	175983
982	169882	175758
983	169985	175513
984	170107	175288
985	170288	175124
986	170500	174991
987	170663	174809
988	170792	174591
989	170959	174413
990	171108	174216
991	171259	174021
992	171473	173890
993	171631	173703
994	171807	173534
995	171959	173340
996	172068	173103
997	172212	172903
998	172421	172766
999	172588	172588
1000	172739	172394
1001	172912	172222
1002	173050	172015
1003	173202	171822
1004	173347	171622
1005	173468	171399
1006	173637	171223
1007	173848	171088
1008	173974	170870
1009	174150	170701
1010	174331	170537
1011	174528	170389
1012	174698	170214
1013	174869	170040
1014	175155	169978
1015	175318	169796
1016	175500	169633
1017	175656	169444
1018	175809	169252
1019	175943	169043
1020	176131	168886
1021	176280	168691
1022	176502	168565
1023	176673	168391
1024	176849	168222
1025	176967	167997
1026	177122	167809
1027	177295	167637
1028	177421	167420
1029	177538	167196
1030	177689	167003
1031	177902	166869
1032	178172	166788
1033	178365	166635
1034	178609	166529
1035	178742	166320
1036	178915	166148
1037	179037	165929
1038	179227	165772
1039	179394	165594
1040	179496	165357
1041	179652	165169
1042	179829	165001
1043	179931	164765
1044	180083	164574
1045	180236	164384
1046	180437	164237
1047	180567	164027
1048	180688	163808
1049	180817	163596
1050	181008	163441
1051	181138	163231
1052	181250	163005
1053	181398	162811
1054	181547	162618
1055	181672	162404
1056	181797	162190
1057	181931	161983
1058	182123	161830
1059	182240	161609
1060	182470	161488
1061	182663	161335
1062	182859	161184
1063	182946	160938
1064	183144	160788
1065	183309	160611
1066	183459	160419
1067	183635	160250
1068	183794	160068
1069	183944	159877
1070	184166	159748
1071	184334	159573
1072	184470	159369
1073	184684	159234
1074	184851	159058
1075	185041	158901
1076	185188	158708
1077	185356	158533
1078	185528	158361
1079	185708	158196
1080	185920	158058
1081	186108	157900
1082	186281	157728
1083	186463	157565
1084	186613	157374
1085	186735	157160
1086	186948	157022
1087	187111	156843
1088	187316	156699
1089	187469	156511
1090	187640	156338
1091	187818	156171
1092	187997	156005
1093	188112	155786
1094	188256	155591
1095	188401	155397
1096	188555	155209
1097	188676	154996
1098	188765	154756
1099	188948	154594
1100	189029	154348
1101	189140	154127
1102	189230	153888
1103	189432	153742
1104	189583	153554
1105	189801	153419
1106	189889	153181
1107	190081	153026
1108	190252	152853
1109	190381	152648
1110	190541	152467
1111	190762	152335
1112	190970	152193
1113	191183	152054
1114	191306	151843
1115	191510	151698
1116	191665	151513
1117	191791	151305
1118	192199	151320
1119	192620	151344
1120	192942	151290
1121	193263	151234
1122	193391	151028
1123	193563	150855
1124	193740	150686
1125	193861	150475
1126	194033	150302
1127	194172	150104
1128	194370	149952
1129	194523	149765
1130	194957	149794
1131	195101	149600
1132	195272	149427
1133	195441	149252
1134	195690	149138
1135	195928	149016
1136	196136	148870
1137	196538	148872
1138	196734	148716
1139	196940	148568
1140	197151	148425
1141	197328	148255
1142	197503	148084
1143	197740	147959
1144	197942	147808
1145	198135	147650
1146	198352	147510
1147	198743	147499
1148	199058	147431
1149	199327	147329
1150	199505	147159
1151	199738	147029
1152	199991	146914
1153	200267	146816
1154	200509	146692
1155	200631	146481
1156	200822	146320
1157	201053	146189
1158	201286	146058
1159	201435	145867
1160	201716	145771
1161	201978	145661
1162	202169	145499
1163	202435	145391
1164	202571	145190
1165	202791	145049
1166	203036	144926
1167	203275	144799
1168	203539	144688
1169	203713	144514
1170	203955	144388
1171	204080	144179
1172	204362	144081
1173	204556	143921
1174	204677	143709
1175	204880	143555
1176	205167	143460
1177	205454	143365
1178	205669	143218
1179	205785	143003
1180	205957	142827
1181	206132	142653
1182	206371	142523
1183	206490	142310
1184	206636	142116
1185	206726	141884
1186	206932	141732
1187	207050	141519
1188	207177	141312
1189	207313	141112
1190	207408	140884
1191	207552	140690
1192	207728	140516
1193	207915	140351
1194	208016	140128
1195	208167	139938
1196	208311	139744
1197	208468	139559
1198	208689	139416
1199	208864	139243
1200	209103	139112
1201	209262	138928
1202	209390	138723
1203	209590	138566
1204	209800	138415
1205	209924	138208
1206	210164	138078
1207	210403	137946
1208	210538	137747
1209	210681	137552
1210	210861	137382
1211	211033	137206
1212	211244	137056
1213	211476	136919
1214	211613	136721
1215	211793	136551
1216	211987	136389
1217	212135	136198
1218	212388	136075
1219	212592	135920
1220	212789	135759
1221	212995	135606
1222	213211	135458
1223	213428	135310
1224	213604	135137
1225	213862	135015
1226	214088	134873
1227	214318	134734
1228	214442	134528
1229	214669	134386
1230	214892	134242
1231	215045	134054
1232	215239	133891
1233	215432	133728
1234	215614	133558
1235	215758	133365
1236	215854	133142
1237	216123	133026
1238	216214	132799
1239	216441	132657
1240	216609	132479
1241	216840	132339
1242	217070	132198
1243	217284	132047
1244	217454	131870
1245	217578	131664
1246	217812	131525
1247	217997	131357
1248	218094	131135
1249	218285	130971
1250	218429	130778
1251	218575	130586
1252	218661	130359
1253	218756	130137
1254	218846	129913
1255	219038	129748
1256	219191	129561
1257	219282	129338
1258	219445	129157
1259	219557	128946
1260	219683	128743
1261	219835	128556
1262	220014	128385
1263	220202	128219
1264	220343	128025
1265	220473	127825
1266	220646	127651
1267	220854	127496
1268	221013	127313
1269	221190	127141
1270	221395	126984
1271	221619	126838
1272	221802	126669
1273	221981	126498
1274	222123	126305
1275	222342	126156
1276	222466	125954
1277	222640	125779
1278	222828	125613
1279	223035	125457
1280	223197	125276
1281	223419	125128
1282	223614	124965
1283	223810	124803
1284	223989	124632
1285	224158	124454
1286	224314	124270
1287	224510	124108
1288	224671	123926
1289	224830	123743
1290	224995	123564
1291	225140	123374
1292	225259	123169
1293	225434	122996
1294	225605	122820
1295	225822	122669
1296	225950	122469
1297	226220	122347
1298	226427	122190
1299	226551	121989
1300	226771	121839
1301	226959	121672
1302	227145	121504
1303	227299	121319
1304	227465	121140
1305	227654	120974
1306	227809	120789
1307	227972	120609
1308	228113	120417
1309	228237	120216
1310	228386	120029
1311	228528	119838
1312	228710	119668
1313	228828	119464
1314	228985	119281
1315	229135	119094
1316	229291	118911
1317	229409	118708
1318	229564	118524
1319	229762	118362
1320	229935	118188
1321	230121	118019
